,(일주일 후...)
,"(그날 오전, 나는 일상적인 서류 작업을 하고 있었는데, 익숙한 노크 소리가 들렸다.)"
지휘관,들어와.
나레이션,"(나는 들어온 사람이 그로자, 아니면 콜펜, 혹은 스프링필드 같은 사람일 거라고 생각했다.)"
나레이션,"(...하지만 나는 전혀 예상하지 못했다. 열린 문 뒤로, 들어온 사람은 보이마스티나였다.)"
보이마스티나,지휘관.
지휘관,"보, 보이마스티나!?"
지휘관,어떻게 네가!?
보이마스티나,오늘의 부관입니다.
나레이션,"(그녀의 목소리는 여느 때와 같이 차분했지만, 나는 그 의도적인 서먹함이 사라졌다는 것을 예리하게 알아차렸다.)"
보이마스티나,스프링필드가 당신을 위해 준비한 커피입니다.
나레이션,"(그녀는 쟁반을 들고, 조용히 내 책상 위에 커피를 놓았다. 태연한 동작은, 마치 아무 일도 없었던 것 같았다.)"
지휘관,...보이마스티나.
보이마스티나,음?
지휘관,저기...
나레이션,(나는 잠시 망설였다. 어떻게 말을 꺼내야 할지 몰랐다.)
지휘관,"너 이번 주 내내 나를 피했는데, 그날 내가 한 말 때문에 기분 나빴어?"
나레이션,"(보이마스티나는 잠시 침묵하다가, 천천히 고개를 저었다.)"
보이마스티나,"아닙니다, 지휘관."
지휘관,저건...?
보이마스티나,설명하자면 시간이 오래 걸립니다.
보이마스티나,업무가 끝난 후에 말씀드리는 것을 권장합니다.
지휘관,"아니... 신경 쓰여서, 이렇게는 일 못 하겠어!?"
지휘관,"아, 길다면 앉아서 말해."
나레이션,"(그녀는 다시 잠시 침묵했지만, 결국 내 맞은편 의자에 앉아, 양손을 단정히 무릎 위에 올려놓았다. 마치 훈계를 기다리는 학생처럼.)"
지휘관,...말해도 되겠습니까?
보이마스티나,응.
보이마스티나,"결론부터 말씀드리면, 당신의 말은 옳지 않습니다."
보이마스티나,저는 당신의 말 때문에 혐오감을 느끼지 않았습니다.
지휘관,그렇다니 다행이다.
지휘관,"아니, 그렇다면, 왜 나를 피한 거야?"
지휘관,설마 내 착각이라고 하려는 건 아니지?
보이마스티나,......
나레이션,"(보이마스티나는 눈을 감고, 생각에 잠긴 듯했다.)"
나레이션,"(나는 보통 인내심이 강한 편이다. 엘모호에는, 말주변 없는 인형―― 특히 내 앞에서 말주변 없는 인형이 적지 않다. 하지만 어째서인지, 보이마스티나가 계속 말을 하지 않자, 나는 매우 긴장했다.)"
나레이션,"(다행히, 그녀는 오래 침묵하지 않았다.)"
보이마스티나,"...결론부터 말씀드리면, 당신의 말은 옳다고 생각합니다."
보이마스티나,제가 사회성과 감정 모방 능력이 부족하다는 것은 거짓이 아닙니다. 제 초기 설계 목적과 '늑대의 눈'의 고부하 작동은 제 연산 능력 대부분을 전투에 사용하도록 결정했습니다.
보이마스티나,"하지만 당신이 지적한 문제 또한 옳습니다... 저는 확실히 쇼 박사가 기대했던 것처럼, 순수한 무기는 아닙니다."
보이마스티나,제 마인드맵에는 여전히 '감정'이라는 변수가 존재합니다.
지휘관,"...너 정말 대단하다, 보이마스티나."
지휘관,"스스로를 돌아보고 인정하고, 그걸 말로 표현하는 거, 아주 좋아."
보이마스티나,"새로운 지휘관을 거부하고, 동시에 새로운 멤버를 거부하는 것은... 올바른 선택이 아니며, 마찬가지로 비효율적입니다."
보이마스티나,"하지만 저는 여전히 그렇게 고집했고, 지난 10년간, 제가 그런 선택을 한 이유를 생각해 본 적이 없습니다. 하지만 답은 사실 명백했습니다. '감정'입니다."
보이마스티나,"...지금까지도, 저는 여전히 이 데이터들이 생성되는 원인과, 그것들이 제 논리에 미치는 영향을 완전히 이해하지 못합니다."
나레이션,(보이마스티나는 계속 눈을 감고 있었다.)
나레이션,"(나는 깨달았다. 이것은 아마도 그녀가 발달하지 않은 언어 시스템에 공급하기 위해, 그녀의 눈이 차지하는 대부분의 연산 능력을 잠시 차단해야 했기 때문일 것이다.)"
보이마스티나,"하지만 당신의 말은, 제가 회피해서 얻은 답을 폭로했습니다."
보이마스티나,"올바른 답은, 올바른 행동과 대책을 얻어야 합니다."
지휘관,...그 집착을 내려놓을 수 있겠어?
보이마스티나,불가능합니다.
나레이션,(보이마스티나의 대답은 간결하고 힘 있었다.)
나레이션,(그녀는 주먹을 쥐었다.)
지휘관,"그럴 줄 알았어. 그렇게 간단히 해결될 문제였다면, 오늘까지 끌고 오지도 않았겠지."
나레이션,"(나는 고개를 끄덕였지만, 그녀는 보지 못했을 것이다.)"
지휘관,"하지만, 너는 이미 선택을 내렸어. 네가 요즘 보인 모습을 봤어."
지휘관,"비록 일부러 누구와 잘 지내려고 하지는 않았지만, 일부러 누구를 피하지도 않았어. 그걸로 됐어."
지휘관,"나는 과거와 미래가 어떻든, 지금 고려해야 할 일이 아니라고 생각해. 지금 당장 망설임 없이 일할 수 있는 것이, 가장 중요해."
나레이션,"(네, 나를 제외하고는, 확실히 일부러 누구를 피하지는 않았지.)"
보이마스티나,맞아.
보이마스티나,"이 일에 대한 보고는, 여기까지입니다."
보이마스티나,"다음으로, 다른 일의 결론을 보고하겠습니다."
지휘관,음?
보이마스티나,"지난 일주일간, 제가 지휘관에 대해 보인 비정상적인 논리적 행동에 대한 복기와 요약입니다."
나레이션,(...왠지 내가 어떤 논문의 연구 대상이 된 것 같다.)
보이마스티나,"안젤리아가 순직한 후, '리벨리온' 소대는 더 이상 지휘관을 두지 않았습니다."
보이마스티나,"하지만 안젤리아의 유언과 과거 행동에 따라, 저희는 당신이 유일하게 자격을 갖춘 후계자라고 공동으로 인정했습니다."
보이마스티나,"안젤리아에 대한 신뢰를 바탕으로, 저희는 당신을 '리벨리온'의 새로운 지휘관으로서의 권한과 지위를 인정했습니다."
지휘관,후훗...
나레이션,"(나는 '그렇지 않아', '나는 그렇게 대단하지 않아', '안젤리아도 나를 그렇게 중요하게 생각하지 않았을 거야'라고 말하고 싶었다.)"
나레이션,"(하지만 나는 입을 뗄 수 없었다. 나와 보이마스티나 모두 이 말이 겸손이라는 것을 알았지만, 나는 입 밖으로 내고 싶지 않았다.)"
나레이션,"(나는 안젤리아와 관련된 어떤 사실도, 더럽히고 싶지 않았고, 더럽히지도 않을 것이다.)"
나레이션,"(그래서, 나는 아무 말도 하지 않고, 그저 태연하게 받아들였다.)"
보이마스티나,"...하지만, 그 대화 이후, 제 마인드맵은 새로운 판단을 내렸습니다."
지휘관,...응?
보이마스티나,"앨바와 '그녀'와는 달리, 저와 당신의 직접적인 접촉은, 10년 전 프랑크푸르트 작전뿐이었습니다."
보이마스티나,"그리고 대부분의 시간, 단지 '그녀'를 통해 당신과 간접적으로 교류했을 뿐, 직접적인 대화는, 거의 없었습니다."
지휘관,"음, 맞아. 아무리 좋게 생각해도, 우리 사이가 그렇게 친한 건 아니지."
보이마스티나,"하지만 이것이 당신에 대한 제 신뢰를 방해하지는 않습니다. 단지, 이 신뢰는 안젤리아에 대한 신뢰에서 비롯된 것입니다."
보이마스티나,"저는 당신을 안젤리아의 후계자, 안젤리아가 인정한 사람으로 여기고, 그래서 무조건 당신을 신뢰했습니다."
지휘관,"음, 나한테는 그것만으로도 충분해."
지휘관,...하지만?
보이마스티나,"...하지만, 그 대화 이후, 저는 깨달았습니다."
보이마스티나,"제 마인드맵에서, 당신과 안젤리아는 서로 독립된 존재가 되었습니다."
지휘관,서로 독립?
지휘관,윽...
지휘관,"...네 말은, 네가 나랑 안젤리아를 따로 보기 시작했다는 거야?"
보이마스티나,맞아.
지휘관,......
보이마스티나,"처음에는, 이런 '비정상적인' 인식이 저를 혼란스럽게 만들었습니다."
보이마스티나,"비록 제가 다른 사람들과 새로운 관계를 맺는 것에 동의하고 받아들였지만, 새로운 지휘관과 새로운 멤버를 거부하는 태도는 변함없었습니다."
보이마스티나,"...제가 인정한 리벨리온 소대는, 오직 초기 멤버만 포함됩니다."
지휘관,"그리고 나는, 원래는 그냥 안젤리아의 자리에 앉아 있었을 뿐이고, 심지어 그냥 안젤리아처럼 취급받았을 뿐이었지."
지휘관,"하지만 지금은, 내가 '여섯 번째'가 된 건가?"
보이마스티나,당신의 요약은 매우 정확합니다.
지휘관,그래서...?
보이마스티나,"...만약, 제가 당신을 안젤리아의 후계자로 여기지 않고, 진정으로 '새로운 지휘관'을 받아들였다면."
보이마스티나,"그것은, 제가 안젤리아를 잊고, 배신했다는 것을 의미하는 걸까요?"
지휘관,보이마스티나......
나레이션,(나는 진지하게 그녀의 어깨에 손을 얹었다.)
나레이션,(그녀가 눈을 떴다.)
지휘관,나는 너희에게 내 지위를 안젤리아보다 위에 두라고 요구한 적 없어.
지휘관,"심지어 안젤리아와 동등할 필요도 없어. 나는 알아, 너희에게 안젤리아는 대체 불가능한 존재라는 걸."
지휘관,――나에게도 마찬가지니까.
나레이션,"(그녀가 고개를 들자, 그 붉은 눈동자에는 내가 한 번도 본 적 없는 어떤 빛이 반짝였다.)"
지휘관,"하지만, 새로운 사람을 신뢰하는 것이, 과거에 대한 배신을 의미하는 건 아니야."
지휘관,"안젤리아는 내, 너희 마음속에서 모두 유일무이해. 누구도 대체할 수 없어."
지휘관,하지만 그것이 내가 다른 신뢰할 만한 사람들을 받아들이는 데 방해가 되지는 않아.
지휘관,"...10년 전, 나는 그리폰을 잃었고, 함께 싸웠던 전우들을 잃었어."
지휘관,"메이링이 처음 후방 지원을 담당했던 몇 년 동안, 나는 심지어 그녀의 이름을 자주 틀리게 불렀어."
지휘관,"하지만 지금, 그녀는 내가 신뢰하는 부관이야. 누구의 대체도 아니야."
지휘관,그러니 너도... 그것 때문에 고민할 필요 없어.
보이마스티나,……알아.
나레이션,(그녀의 목소리가 더욱 굳건해졌다.)
보이마스티나,"그래서, 제가 왔습니다."
나레이션,(그녀는 다시 눈을 감았다.)
보이마스티나,"당신의 말씀대로, 저는 과거에 얽매여서는 안 됩니다."
보이마스티나,"당신을 받아들이는 것이, 그녀를 잊는다는 뜻은 아닙니다. 만약 그녀 때문에 당신을 두려워한다면... 그것이야말로 진정한 배신입니다."
보이마스티나,"...제 마인드맵은 이런 문제를 처리하는 데 서툴러서, 이 결론을 내리는 데 일주일이 걸렸습니다."
보이마스티나,"하지만 저는, 이것이 올바른 답이라고 생각합니다."
지휘관,"...고마워. 하지만, 사실... 그날 했던 말들, 절반 이상은 앨바가 알려준 거야."
지휘관,"만약 네가 그 말 때문에 나에 대한 생각이 바뀌었다면, 나는..."
보이마스티나,알고 있어.
보이마스티나,"리벨리온의 기존 전자 및 서면 기록에는, 그 정도로 자세하게 기록되어 있지 않습니다."
보이마스티나,"대부분의 정보는, 관련자만이 제공할 수 있습니다."
지휘관,그럼 너...?
보이마스티나,...정보의 출처는 중요하지 않습니다.
보이마스티나,"중요한 것은, 10년간, 저에게 그런 말을 해준 유일한 사람은, 당신, 지휘관이었다는 것입니다."
지휘관,......
보이마스티나,"그래서, 지휘관..."
나레이션,"(그녀는 일어나, 눈을 뜨고, 내게 정중한 군례를 올렸다.)"
보이마스티나,다시 자기소개하겠습니다.
보이마스티나,"저는 AK-15, 보이마스티나, 리벨리온 소대원, 전 세계에서 가장 강력한 인형입니다."
보이마스티나,"오늘부터, 저는 리벨리온의 일원으로서, 당신의 부하가 되어, 당신을 위해 힘쓰고 싶습니다."
나레이션,"(그녀는 눈을 뜬 후, 이렇게 긴 말을 한숨에 내뱉자, 조금 더듬거렸다.)"
나레이션,(하지만 나는 그래서 우스꽝스럽다고 느끼지는 않았다.)
나레이션,"(나는 미소를 지으며 일어나, 똑같이 정중한 군례로 화답했다.)"
지휘관,"...복귀를 환영한다, 보이마스티나."
