,"(그 후, 파티는 무사히 진행되었다. 인형들이 지휘관을 중심에 두고 함께 아름다운 밤을 보냈다.)"
,"(익숙한 '지휘관'이라는 호칭이 들릴 때마다, 과거의 모든 것이 희미하게 마음을 스쳐지나갔다...)"
지휘관,......
스프링필드,지휘관님?
지휘관,"...아, 스프링필드."
지휘관,...최근에 제대로 쉰 적이 없어서 갑자기 긴장을 풀으니...
페리,아침부터 지금까지 바쁘셨으니 지휘관님 피곤하시겠죠?
지휘관,좀 졸리네.
린드,쳇... 나랑 이야기하자더니 이제 잠오냐?
린드,"됐어, 어차피 앞으로 시간 많으니까... 네 무사 소식을 상강에 전할게."
지휘관,...응...
미슈티,...Zzzzz...
마키아토,뭐야... 잠꾸러기 둘...
마키아토,"(예전에도 지휘관 곁에서 모두 이렇게 웃고 떠들었지만, 그 후... 아뇨, 지금은 그때와 다릅니다.)"
마키아토,(지금의 지휘관은... 그러지 않아... 인형들의 웃음소리 속에 지휘관은 편안하게 눈을 감았다.)
샤크리,"마키아토, 계속 지휘관만 쳐다보네~"
사브리나,큰일! 내가 만든 디저트 지휘관님께 맛보여드리려고 했는데!
페리,쉿—— 지휘관 깨우지 마.
그로자,"디저트는 내일 아침에 먹여도 되니, 먼저 지휘관님을 방으로 모셔다 드려야 해."
그로자,"스프링필드, 1575 도움을 청할 수 있을까요?"
스프링필드,1575는 전투 중 손상되어 저녁때 수리 보냈어요.
스프링필드,내가 할게——
스프링필드,(흐릿한 피로감 속에서 누군가의 팔이 부드럽게 지휘관을 일으켜 세웠다.)
지휘관,어... 스프링필드?
스프링필드,"저예요, 지휘관님."
스프링필드,오늘 일정은 모두 끝났으니 이제 편히 주무세요.
스프링필드,(부드러운 목소리가 안면 주문처럼 들렸다.)
스프링필드,(지휘관의 머릿속을 떠나지 않던 것들이 이 순간만은 잠시 사라진 듯했다.)
스프링필드,(지휘관은 다시 눈을 감았다.)
스프링필드,(이번에는 밤새 단잠을 잤다.)
